PGD ID	PGD Type	Meteorite	Technique	12C/13C	14N/15N	d(29Si/28Si)	d(30Si/28Si)
SiC-1993-ALE-000030	M	Murchison	WU 3f	65.2		50.4	40.3
SiC-1993-ALE-000031	AB	Bishunpur	WU 3f	8.5		37.3	25.3
SiC-1993-ALE-000032	M	Bishunpur	WU 3f	87.2		8.2	36.9
SiC-1993-ALE-000033	M	Bishunpur	WU 3f	91.8		47.4	23.0
SiC-1993-ALE-000034	M	Bishunpur	WU 3f	67.0		37.9	16.5
SiC-1993-ALE-000035	M	Bishunpur	WU 3f	64.0		84.4	100.3
SiC-1993-ALE-000036	M	Bishunpur	WU 3f	59.6		60.5	47.7
SiC-1993-ALE-000037	AB	Bishunpur	WU 3f	9.9		5.1	24.6
SiC-1993-ALE-000038	X	Bishunpur	WU 3f	167.8		-253.3	-398.1
SiC-1993-ALE-000039	M	Bishunpur	WU 3f	65.8		-6.2	14.6
SiC-1993-ALE-000040	Y	Bishunpur	WU 3f	115.0		13.3	12.8
SiC-1993-ALE-000041	M	Bishunpur	WU 3f	57.0		124.6	100.4
SiC-1993-ALE-000042	M	Bishunpur	WU 3f	44.4		82.0	84.1
SiC-1993-ALE-000043	AB	Bishunpur	WU 3f	7.7		211.8	155.6
SiC-1993-ALE-000044	M	Bishunpur	WU 3f	26.8		78.0	48.9
SiC-1993-ALE-000045	M	Bishunpur	WU 3f	27.5		63.8	72.2
SiC-1993-ALE-000046	M	Bishunpur	WU 3f	54.3		7.0	38.2
SiC-1993-ALE-000047	M	Bishunpur	WU 3f	77.8		13.6	19.0
SiC-1993-ALE-000048	M	Bishunpur	WU 3f	55.9		113.6	97.8
SiC-1993-ALE-000049	M	Bishunpur	WU 3f	64.6		41.9	34.0
SiC-1993-ALE-000050	M	Bishunpur	WU 3f	52.6		64.8	42.1
SiC-1993-ALE-000051	M	Bishunpur	WU 3f	60.9		37.0	82.7
SiC-1993-ALE-000052	M	Bishunpur	WU 3f	73.6		59.6	44.7
SiC-1993-ALE-000053	M	Bishunpur	WU 3f	64.5		70.9	63.2
SiC-1993-ALE-000054	Z	Bishunpur	WU 3f	46.2		-51.9	-0.4
SiC-1993-ALE-000055	M	Bishunpur	WU 3f	54.1		53.2	55.9
SiC-1993-ALE-000056	AB	Bishunpur	WU 3f	5.0		128.0	101.9
SiC-1993-ALE-000057	M	Bishunpur	WU 3f	72.4		60.9	46.3
SiC-1993-ALE-000058	M	Bishunpur	WU 3f	32.2		37.4	19.3
SiC-1993-ALE-000059	M	Bishunpur	WU 3f	65.1		43.8	35.9
SiC-1993-ALE-000060	M	Bishunpur	WU 3f	63.2		-28.0	-7.7
SiC-1993-ALE-000061	M	Bishunpur	WU 3f	15.2		-26.1	-2.5
SiC-1993-ALE-000062	M	Bishunpur	WU 3f	49.3		101.5	67.8
SiC-1993-ALE-000063	M	Bishunpur	WU 3f	45.1		66.6	61.9
SiC-1993-ALE-000064	M	Bishunpur	WU 3f	45.0		51.5	54.0
SiC-1993-ALE-000065	M	Bishunpur	WU 3f	48.8		97.4	99.9
SiC-1993-ALE-000066	AB	Bishunpur	WU 3f	4.3		93.5	62.1
SiC-1993-ALE-000067	M	Bishunpur	WU 3f	56.1		-2.0	19.0
SiC-1993-ALE-000068	M	Bishunpur	WU 3f	47.8		-17.3	6.8
SiC-1993-ALE-000069	Y	Bishunpur	WU 3f	126.7		-59.5	4.0
SiC-1993-ALE-000070	M	Chainpur	WU 3f	76.4		-9.2	14.2
SiC-1993-ALE-000071	M	Chainpur	WU 3f	46.9		139.4	123.0
SiC-1993-ALE-000072	M	Chainpur	WU 3f	65.9		6.7	18.4
SiC-1993-ALE-000073	M	Chainpur	WU 3f	51.9		35.2	51.9
SiC-1993-ALE-000074	M	Chainpur	WU 3f	74.4		44.5	53.0
SiC-1993-ALE-000075	M	Chainpur	WU 3f	51.9		96.6	125.6
SiC-1993-ALE-000076	M	Chainpur	WU 3f	47.6		63.1	105.1
SiC-1993-ALE-000077	M	Chainpur	WU 3f	46.7		144.4	142.8
SiC-1993-ALE-000078	M	Chainpur	WU 3f	77.8		64.4	73.9
SiC-1993-ALE-000079	M	Chainpur	WU 3f	57.3		77.9	82.5
SiC-1993-ALE-000080	M	Chainpur	WU 3f	46.2		145.6	126.8
SiC-1993-ALE-000081	M	Chainpur	WU 3f	48.8		119.0	108.0
SiC-1993-ALE-000082	M	Chainpur	WU 3f	47.3		48.8	61.1
SiC-1993-ALE-000083	M	Chainpur	WU 3f	42.1		5.2	41.1
SiC-1993-ALE-000084	M	Chainpur	WU 3f	58.9		104.7	131.8
SiC-1993-ALE-000085	M	Chainpur	WU 3f	50.8		96.1	94.2
SiC-1993-ALE-000086	M	Chainpur	WU 3f	57.5		9.7	56.8
SiC-1993-ALE-000087	M	Chainpur	WU 3f	46.4		99.9	83.0
SiC-1993-ALE-000088	M	Chainpur	WU 3f	65.2		53.8	39.3
SiC-1993-ALE-000089	M	Chainpur	WU 3f	45.9		45.7	58.9
SiC-1993-ALE-000090	M	Chainpur	WU 3f	38.8		-31.1	26.9
SiC-1993-ALE-000091	M	Chainpur	WU 3f	35.2		61.6	100.7
SiC-1993-ALE-000092	AB	Chainpur	WU 3f	3.0		7.4	22.3
SiC-1993-ALE-000093	M	Chainpur	WU 3f	22.8		27.9	21.9
